año,mes,indice_ripte,variacion_mensual,monto_en_pesos,fecha_combined,fecha,ripte
2010,Enero,344.28,-0.1,3011.99,2010-01-01,2010-01-01,344.28
2010,Febrero,355.54,3.3,3110.52,2010-02-01,2010-02-01,355.54
2010,Marzo,369.56,3.9,3233.2,2010-03-01,2010-03-01,369.56
2010,Abril,377.78,2.2,3305.06,2010-04-01,2010-04-01,377.78
2010,Mayo,381.84,1.1,3340.58,2010-05-01,2010-05-01,381.84
2010,Junio,388.62,1.8,3399.89,2010-06-01,2010-06-01,388.62
2010,Julio,398.37,2.5,3485.26,2010-07-01,2010-07-01,398.37
2010,Agosto,408.08,2.4,3570.19,2010-08-01,2010-08-01,408.08
2010,Septiembre,425.11,4.2,3719.15,2010-09-01,2010-09-01,425.11
2010,Octubre,433.84,2.1,3795.5,2010-10-01,2010-10-01,433.84
2010,Noviembre,439.23,1.2,3842.72,2010-11-01,2010-11-01,439.23
2010,Diciembre,444.13,1.1,3885.52,2010-12-01,2010-12-01,444.13
2011,Enero,449.82,1.3,3935.3,2011-01-01,2011-01-01,449.82
2011,Febrero,459.18,2.1,4017.23,2011-02-01,2011-02-01,459.18
2011,Marzo,490.31,6.8,4289.54,2011-03-01,2011-03-01,490.31
2011,Abril,496.42,1.2,4343.04,2011-04-01,2011-04-01,496.42
2011,Mayo,515.55,3.9,4510.43,2011-05-01,2011-05-01,515.55
2011,Junio,522.98,1.4,4575.38,2011-06-01,2011-06-01,522.98
2011,Julio,539.38,3.1,4718.9,2011-07-01,2011-07-01,539.38
2011,Agosto,557.23,3.3,4875.01,2011-08-01,2011-08-01,557.23
2011,Septiembre,575.47,3.3,5034.58,2011-09-01,2011-09-01,575.47
2011,Octubre,584.75,1.6,5115.77,2011-10-01,2011-10-01,584.75
2011,Noviembre,599.28,2.5,5242.9,2011-11-01,2011-11-01,599.28
2011,Diciembre,603.55,0.7,5280.28,2011-12-01,2011-12-01,603.55
2012,Enero,611.61,1.3,5350.76,2012-01-01,2012-01-01,611.61
2012,Febrero,628.82,2.8,5501.32,2012-02-01,2012-02-01,628.82
